epoch,training_cost,validation_cost,lr_per_epoch
1,1.138115105869101,1.0524666835280025,0.0008799269593971269
2,1.0575506316243315,0.8300994371666628,0.0008799269593971269
3,0.809958836693558,0.6480084780384513,0.0008799269593971269
4,0.7055851810698887,0.5808348252492792,0.0008799269593971269
5,0.6398046336156858,0.5348639523281771,0.0008799269593971269
6,0.5962381641641795,0.5224117741865271,0.0008799269593971269
7,0.5669635391707043,0.5209301385809394,0.0008799269593971269
8,0.5507865947999543,0.5111961934496375,0.0008799269593971269
9,0.5400815915932758,0.4989151358604431,0.0008799269593971269
10,0.5321658446098403,0.4884837795706356,0.0008799269593971269
11,0.5243095279865556,0.477052728042883,0.0008799269593971269
12,0.5170643678028807,0.47348906801027413,0.0008799269593971269
13,0.5089086950254097,0.4751458580003065,0.0008799269593971269
14,0.5011585254570563,0.4778242339106167,0.0008799269593971269
15,0.49279590958742786,0.47986636442296643,0.0008799269593971269
16,0.4851984467437799,0.4813646148232853,0.0008799269593971269
17,0.48768681689775245,0.46014785240678224,8.79926959397127e-05
18,0.4776843213241735,0.4488648886189741,8.79926959397127e-05
19,0.47312074929154174,0.4437720766838859,8.79926959397127e-05
20,0.4709045420394098,0.44130100748118234,8.79926959397127e-05
21,0.4695832482773623,0.43997667028623466,8.79926959397127e-05
22,0.4686390844930848,0.4392089808688444,8.79926959397127e-05
23,0.46787206096936473,0.4387237920480616,8.79926959397127e-05
24,0.4671986286374305,0.4383847853716682,8.79926959397127e-05
25,0.466583439209264,0.43811871199046865,8.79926959397127e-05
26,0.4660056913874561,0.43788695510695963,8.79926959397127e-05
27,0.46545526379947183,0.4376688082428539,8.79926959397127e-05
28,0.4649268153438465,0.43745382042492137,8.79926959397127e-05
29,0.4644165204154502,0.43723806563545675,8.79926959397127e-05
30,0.4639218965773102,0.43701661334318276,8.79926959397127e-05
31,0.4634405197106677,0.4367864692912382,8.79926959397127e-05
32,0.4629705535422126,0.4365464361274944,8.79926959397127e-05
33,0.46251067213660524,0.43629571532501893,8.79926959397127e-05
34,0.4620598145365286,0.43603331201216755,8.79926959397127e-05
35,0.4616166896474876,0.4357599484569886,8.79926959397127e-05
36,0.46118067320195033,0.43547599017620087,8.79926959397127e-05
37,0.4607511282288771,0.43518207266050224,8.79926959397127e-05
38,0.46032754846399637,0.4348785780808505,8.79926959397127e-05
39,0.45990932831982917,0.4345659771386315,8.79926959397127e-05
40,0.45949593497266017,0.43424440657391267,8.79926959397127e-05
41,0.45908666158215605,0.43391550814404206,8.79926959397127e-05
42,0.45868175849318504,0.4335804862134597,8.79926959397127e-05
43,0.4582811514947483,0.43323923647403717,8.79926959397127e-05
44,0.45788434335439326,0.4328922822194941,8.79926959397127e-05
45,0.4574904445317581,0.43254194101866555,8.79926959397127e-05
46,0.45709961998484117,0.4321879586752723,8.79926959397127e-05
47,0.4567115359115515,0.4318291229360244,8.79926959397127e-05
48,0.4563258387845197,0.43146545834401073,8.79926959397127e-05
49,0.45594217995409486,0.43109730674939994,8.79926959397127e-05
50,0.45556036455275345,0.4307251677793615,8.79926959397127e-05
51,0.45518023673471786,0.4303494016913807,8.79926959397127e-05
52,0.4548016078234148,0.4299703731256373,8.79926959397127e-05
53,0.45442461951387875,0.42958907520069795,8.79926959397127e-05
54,0.4540491622718547,0.4292054377934512,8.79926959397127e-05
55,0.45367498194678224,0.42881958624895883,8.79926959397127e-05
56,0.4533018732724859,0.42843197724398446,8.79926959397127e-05
57,0.4529296732474145,0.42804303502335267,8.79926959397127e-05
58,0.45255823701405695,0.42765318733804364,8.79926959397127e-05
59,0.4521875163044432,0.42726297325947704,8.79926959397127e-05
60,0.4518173433733072,0.4268728424521053,8.79926959397127e-05
61,0.4514477454233084,0.4264831613091862,8.79926959397127e-05
62,0.45107859732221356,0.4260944294578889,8.79926959397127e-05
63,0.4507098779779115,0.4257069361560485,8.79926959397127e-05
64,0.4503415634038208,0.4253210591919282,8.79926959397127e-05
65,0.4499735506854469,0.424937425290837,8.79926959397127e-05
66,0.4496059219399802,0.4245562141432482,8.79926959397127e-05
67,0.44923860783414016,0.4241779227467144,8.79926959397127e-05
68,0.4488715571250847,0.42380283597637625,8.79926959397127e-05
69,0.44850485458326855,0.423431643668343,8.79926959397127e-05
70,0.448138379176958,0.42306485421517315,8.79926959397127e-05
71,0.4477721575459988,0.4227030023055918,8.79926959397127e-05
72,0.4474061933352793,0.42234818462063284,8.79926959397127e-05
73,0.44704060838055265,0.4219998086200041,8.79926959397127e-05
74,0.4466754213886724,0.4216578935875612,8.79926959397127e-05
75,0.446310716540479,0.42132213624084697,8.79926959397127e-05
76,0.445946683638173,0.42098893049885244,8.79926959397127e-05
77,0.4455830521827979,0.42065998035318714,8.79926959397127e-05
78,0.44521995620440236,0.4203368057222927,8.79926959397127e-05
79,0.4448575542824303,0.42002006488687854,8.79926959397127e-05
80,0.44449599202481105,0.41970952293452096,8.79926959397127e-05
81,0.4441350351670663,0.41940512201365304,8.79926959397127e-05
82,0.44377480179285833,0.4191066447426291,8.79926959397127e-05
83,0.4434154094230357,0.41881482741411996,8.79926959397127e-05
84,0.4430571080808588,0.4185302406549454,8.79926959397127e-05
85,0.4427000211029173,0.41825338058611927,8.79926959397127e-05
86,0.44234434006025464,0.417984516305082,8.79926959397127e-05
87,0.44199021608173417,0.4177238730823292,8.79926959397127e-05
88,0.4416378029226828,0.41747160080601187,8.79926959397127e-05
89,0.4412872221240466,0.41722796331433687,8.79926959397127e-05
90,0.4409386256187082,0.4169926362879136,8.79926959397127e-05
91,0.44059215756736214,0.41676583009607654,8.79926959397127e-05
92,0.44024791346072295,0.41654747198609743,8.79926959397127e-05
93,0.43990605890000467,0.41633745414369244,8.79926959397127e-05
94,0.4395667409671725,0.4161356599891887,8.79926959397127e-05
95,0.4392299879637125,0.4159418283139958,8.79926959397127e-05
96,0.4388959768811147,0.4157557469957015,8.79926959397127e-05
97,0.4385647252738047,0.41557732487426086,8.79926959397127e-05
98,0.43823628987875773,0.41540661892470193,8.79926959397127e-05
99,0.43791078194547045,0.4152433372595731,8.79926959397127e-05
100,0.43758825260958223,0.41508721867028403,8.79926959397127e-05
